datetime,username,id,tweet,date,time,hashtags,mentions,replies,retweets,likes,link,RT,countHA,countAT,gvkey,cgvkey
2016-02-26 10:17:13,ICE_Markets,703237389393776641,Trading starts Monday for our new U.S. nat gas & environmental contracts pic.twitter.com/RrwOdymYNp,2016-02-26,10:17:13,,,0,3,1,https://twitter.com/ICE_Markets/status/703237389393776641,0,0,0,163610,163610
2016-02-26 08:44:38,ICE_Markets,703214089355599872,ICE's Lynn Martin talks about the future of data in equities and commodities markets:  https://www.theice.com/article/the-future-of-data … pic.twitter.com/XRcGpd87AK,2016-02-26,08:44:38,,,1,3,2,https://twitter.com/ICE_Markets/status/703214089355599872,0,0,0,163610,163610
2016-02-25 09:05:10,ICE_Markets,702856869677817856,We completed the transition of ICE Endex to the ICE platform pic.twitter.com/xIoQaAnweS,2016-02-25,09:05:10,,,0,3,2,https://twitter.com/ICE_Markets/status/702856869677817856,0,0,0,163610,163610
2016-02-25 08:23:56,ICE_Markets,702846490151096320,"Congrats to ICE's Lynn Martin for making Market Voice's ""9 People to Watch in 2016"" list!  http://goo.gl/1WdD4S  pic.twitter.com/9xc9fY3vFg",2016-02-25,08:23:56,,,0,3,1,https://twitter.com/ICE_Markets/status/702846490151096320,0,0,0,163610,163610
2016-02-23 12:51:00,ICE_Markets,702188923502649345,Natural gas is playing an increasingly important role as a clean & affordable energy supply  https://www.theice.com/factsheet/changing-european-nat-gas-dynamics … pic.twitter.com/jaVKqlBEuu,2016-02-23,12:51:00,,,0,13,3,https://twitter.com/ICE_Markets/status/702188923502649345,0,0,0,163610,163610
2016-02-21 21:05:21,ICE_Markets,701588556754640896,A technical analysis of the global currency markets for the week of Feb 22nd:  https://www.theice.com/market-commentary … pic.twitter.com/YLZuSFjaTx,2016-02-21,21:05:21,,,0,0,0,https://twitter.com/ICE_Markets/status/701588556754640896,0,0,0,163610,163610
2016-02-17 07:50:27,ICE_Markets,699938960718635008,2016 YTD client cleared transactions for single name CDS instruments has already exceeded the 2015 total pic.twitter.com/BSpR22UcSC,2016-02-17,07:50:27,,,0,2,2,https://twitter.com/ICE_Markets/status/699938960718635008,0,0,0,163610,163610
2016-02-16 10:24:39,ICE_Markets,699615381686648833,The world’s most important international coal hubs. Read more:  https://www.theice.com/factsheet/coal-derivatives-at-ice … https://amp.twimg.com/v/f6109a0b-baa7-479e-abbb-9f856fabb3a2 …,2016-02-16,10:24:39,,,0,2,1,https://twitter.com/ICE_Markets/status/699615381686648833,0,0,0,163610,163610
2016-02-15 12:19:17,ICE_Markets,699281839362568193,See our February 15th Holiday Hours:  https://www.theice.com/holiday-hours?=hp_banner?=Twitter … pic.twitter.com/dMFZLFurRr,2016-02-15,12:19:17,,,0,1,0,https://twitter.com/ICE_Markets/status/699281839362568193,0,0,0,163610,163610
2016-02-14 21:05:21,ICE_Markets,699051843062726656,A technical analysis of the global currency markets for the week of Feb 15th:  https://www.theice.com/market-commentary … pic.twitter.com/p34THYVWmM,2016-02-14,21:05:21,,,0,0,2,https://twitter.com/ICE_Markets/status/699051843062726656,0,0,0,163610,163610
2016-02-11 09:16:39,ICE_Markets,697786327459328000,ICE mini MSCI EAFE Index future achieves five open interest records pic.twitter.com/79cE825z9Q,2016-02-11,09:16:39,,,0,4,4,https://twitter.com/ICE_Markets/status/697786327459328000,0,0,0,163610,163610
2016-02-10 12:04:21,ICE_Markets,697466142328279040,ICE had record daily volume in our renewable energy certificate futures contracts driven by trading in PJM markets pic.twitter.com/DqG03uFAIx,2016-02-10,12:04:21,,,0,3,5,https://twitter.com/ICE_Markets/status/697466142328279040,0,0,0,163610,163610
2016-02-10 08:20:21,ICE_Markets,697409772107251712,ICE Clear Canada Receives 3rd-Country Central Counterparty Recognition Under EMIR:  http://ir.theice.com/press/press-releases/all-categories/2016/02-10-2016-130204849 … pic.twitter.com/EqRlAa6spE,2016-02-10,08:20:21,,,0,2,0,https://twitter.com/ICE_Markets/status/697409772107251712,0,0,0,163610,163610
2016-02-09 13:46:22,ICE_Markets,697129426627260416,The hard facts on soft commodities:  https://www.theice.com/publicdocs/futures_us/ICE_Monthly_Softs_Fast_Facts.pdf?spMailingID=13695377&spUserID=NTAzMjg4NjU5NDYS1&spJobID=720658304&spReportId=NzIwNjU4MzA0S0 … pic.twitter.com/EhKQnXo6DI,2016-02-09,13:46:22,,,0,7,1,https://twitter.com/ICE_Markets/status/697129426627260416,0,0,0,163610,163610
2016-02-09 08:58:02,ICE_Markets,697056867172765698,It's time to request a demo https://cards.twitter.com/cards/18ce53w1ifr/1g2bb …,2016-02-09,08:58:02,,,1,5,85,https://twitter.com/ICE_Markets/status/697056867172765698,0,0,0,163610,163610
2016-02-08 17:11:12,ICE_Markets,696818587672010752,What does the fall in price of crude oil mean for the market? https://cards.twitter.com/cards/18ce53w1ifr/1fzv7 …,2016-02-08,17:11:12,,,15,123,246,https://twitter.com/ICE_Markets/status/696818587672010752,0,0,0,163610,163610
2016-02-08 09:31:08,ICE_Markets,696702810004525057,"Real opportunities, real time: https://www.theice.com/technology/instant-message … pic.twitter.com/kcJBXu4xYy",2016-02-08,09:31:08,,,0,4,1,https://twitter.com/ICE_Markets/status/696702810004525057,0,0,0,163610,163610
2016-02-07 21:05:19,ICE_Markets,696515117345828864,A technical analysis of the global currency markets for the week of Feb 8th:  https://www.theice.com/market-commentary … pic.twitter.com/Xbl7GlpuaC,2016-02-07,21:05:19,,,0,5,4,https://twitter.com/ICE_Markets/status/696515117345828864,0,0,0,163610,163610
2016-02-07 19:25:15,ICE_Markets,696489935654805504,Happy Chinese New Year pic.twitter.com/VvOxBsO2UH,2016-02-07,19:25:15,,,1,51,48,https://twitter.com/ICE_Markets/status/696489935654805504,0,0,0,163610,163610
2016-02-05 09:07:00,ICE_Markets,695609572573192192,ICE Futures Europe offers the broadest and most liquid rage of Dividend Adjusted Stock Futures contracts pic.twitter.com/eYqMs7vtP6,2016-02-05,09:07:00,,,0,1,3,https://twitter.com/ICE_Markets/status/695609572573192192,0,0,0,163610,163610
2016-02-04 08:37:22,ICE_Markets,695239728661151745,"For 2015, ICE reports 10th year of record earnings:  http://ir.theice.com/press/press-releases/all-categories/2016/02-04-2016-123217141 … pic.twitter.com/iUekn341CK",2016-02-04,08:37:22,,,5,29,54,https://twitter.com/ICE_Markets/status/695239728661151745,0,0,0,163610,163610
2016-02-04 07:55:27,ICE_Markets,695229180066267136,"ICE reports 26% adj. EPS growth in 4Q15, increases dividend:  http://ir.theice.com/press/press-releases/all-categories/2016/02-04-2016-123217141 … pic.twitter.com/mRBGRmkT3Z",2016-02-04,07:55:27,,,2,18,85,https://twitter.com/ICE_Markets/status/695229180066267136,0,0,0,163610,163610
2016-02-04 03:05:24,ICE_Markets,695156183850688512,Open interest for ICE MSCI Index futures on ICE Futures US & ICE Futures Europe crossed 1 million at the end of 2015 pic.twitter.com/ZyZBOpVS99,2016-02-04,03:05:24,,,0,1,1,https://twitter.com/ICE_Markets/status/695156183850688512,0,0,0,163610,163610
2016-02-03 08:05:22,ICE_Markets,694869284879781888,Feb 2 marks our first ever block trade on ERIS Credit Index Futures traded on ICE pic.twitter.com/Ub01eBpFFw,2016-02-03,08:05:22,,,0,3,6,https://twitter.com/ICE_Markets/status/694869284879781888,0,0,0,163610,163610
2016-02-03 03:30:43,ICE_Markets,694800166323392512,The ICE MSCI Index futures franchise had a record year in 2015:  https://www.theice.com/infographic/2015-equity-derivatives … pic.twitter.com/hdr2UJcuu0,2016-02-03,03:30:43,,,0,2,1,https://twitter.com/ICE_Markets/status/694800166323392512,0,0,0,163610,163610
2016-02-02 10:49:49,ICE_Markets,694548283151237121,The ICE MSCI Index futures franchise had a record year in 2015:  https://www.theice.com/infographic/2015-equity-derivatives … pic.twitter.com/aJ8eWIAzxN,2016-02-02,10:49:49,,,0,5,3,https://twitter.com/ICE_Markets/status/694548283151237121,0,0,0,163610,163610
2016-02-01 14:18:18,ICE_Markets,694238363205902337,It has been a record month for client single name CDS clearing pic.twitter.com/sk50V0dCRt,2016-02-01,14:18:18,,,0,2,0,https://twitter.com/ICE_Markets/status/694238363205902337,0,0,0,163610,163610
2016-02-01 09:00:25,ICE_Markets,694158362146000896,What’s next from the Bank of England? https://cards.twitter.com/cards/18ce53w1ifr/1f5d8 …,2016-02-01,09:00:25,,,7,27,132,https://twitter.com/ICE_Markets/status/694158362146000896,0,0,0,163610,163610
